"ban_w1","ban_w2","ban_change","eo_banimm","eo_banimm_w2","american_identity","amer_id_shift","dem_rep_ind","rep_ind_dem","dem_p","rep_p","partyid","partyid_w2","some_coll_less","education","education_w2","gender","gender_w2","female","age","age_w2","age_r","income","income_w2","income_less_60","white","race","race_w2","vote_trump","trump_app_r","muslim_scale","key_change","eo_keystone","eo_keystone_w2","wall_change","eo_wall","eo_wall_w2","voted_2016","voted_2016_w2","watch_dem_dummy"
1,NA,NA,1,NA,15,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1971,NA,45,1,NA,1,1,1,NA,NA,0,42,NA,1,NA,NA,1,NA,4,NA,NA
1,NA,NA,1,NA,8,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1965,NA,51,2,NA,1,1,1,NA,0,0,42,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,3,NA,1,NA,0,1992,NA,24,3,NA,1,1,1,NA,1,1,24,NA,5,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,9,NA,3,2,0,0,3,NA,0,4,NA,1,NA,0,1979,NA,37,5,NA,0,1,1,NA,1,1,25,NA,4,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,10,NA,3,2,0,0,3,NA,1,1,NA,1,NA,0,1990,NA,26,2,NA,1,1,1,NA,NA,1,30,NA,4,NA,NA,4,NA,4,NA,NA
3,NA,NA,5,NA,18,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1971,NA,45,4,NA,0,0,4,NA,1,1,21,NA,3,NA,NA,4,NA,2,NA,NA
1,NA,NA,1,NA,4,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1990,NA,26,3,NA,1,1,1,NA,NA,0,45,NA,NA,NA,NA,1,NA,3,NA,NA
1,NA,NA,1,NA,17,NA,1,3,1,0,1,NA,0,4,NA,2,NA,1,1962,NA,54,5,NA,0,1,1,NA,0,0,41,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,16,NA,2,1,0,1,2,NA,0,4,NA,1,NA,0,1989,NA,27,2,NA,1,1,1,NA,1,1,27,NA,5,NA,NA,5,NA,2,NA,NA
3,NA,NA,4,NA,16,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1994,NA,22,4,NA,0,1,1,NA,0,0,27,NA,4,NA,NA,3,NA,1,NA,NA
2,NA,NA,3,NA,13,NA,2,1,0,1,2,NA,1,2,NA,2,NA,1,1990,NA,26,3,NA,1,1,1,NA,1,1,29,NA,3,NA,NA,3,NA,2,NA,NA
3,NA,NA,4,NA,20,NA,1,3,1,0,1,NA,1,2,NA,1,NA,0,1979,NA,37,1,NA,1,1,1,NA,0,1,34,NA,3,NA,NA,5,NA,1,NA,NA
3,NA,NA,5,NA,12,NA,2,1,0,1,2,NA,1,3,NA,1,NA,0,1986,NA,30,5,NA,0,1,1,NA,1,1,31,NA,5,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,18,NA,3,2,0,0,3,NA,0,4,NA,1,NA,0,1954,NA,62,2,NA,1,1,1,NA,NA,1,39,NA,2,NA,NA,5,NA,3,NA,NA
1,NA,NA,1,NA,20,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1968,NA,48,4,NA,0,1,1,NA,0,0,34,NA,4,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,16,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1957,NA,59,1,NA,1,1,1,NA,0,0,NA,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,5,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1995,NA,21,1,NA,1,0,2,NA,NA,0,26,NA,1,NA,NA,1,NA,3,NA,NA
